"section","order","details_html"
"2018",6,"<details>
    <summary> [Maize domestication and gene interaction](https://doi.org/10.1111/nph.15350)
 Michelle C. Stitzer, Jeffrey Ross‐Ibarra

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Contents Summary 395 I. Introduction 395 II. The genetic basis of maize domestication 396 III. The tempo of maize domestication 401 IV. Genetic interactions and selection during maize domestication 401 V. Gene networks of maize domestication alleles 404 VI. Implications of gene interactions on evolution and selection 404 VII. Conclusions 405 Acknowledgements 405 References 405 Summary Domestication is a tractable system for following evolutionary change. Under domestication, wild populations respond to shifting selective pressures, resulting in adaptation to the new ecological niche of cultivation. Owing to the important role of domesticated crops in human nutrition and agriculture, the ancestry and selection pressures transforming a wild plant into a domesticate have been extensively studied. In Zea mays , morphological, genetic and genomic studies have elucidated how a wild plant, the teosinte Z. mays subsp. parviglumis , was transformed into the domesticate Z. mays subsp. mays . Five major morphological differences distinguish these two subspecies, and careful genetic dissection has pinpointed the molecular changes responsible for several of these traits. But maize domestication was a consequence of more than just five genes, and regions throughout the genome contribute. The impacts of these additional regions are contingent on genetic background, both the interactions between alleles of a single gene and among alleles of the multiple genes that modulate phenotypes. Key genetic interactions include dominance relationships, epistatic interactions and pleiotropic constraint, including how these variants are connected in gene networks. Here, we review the role of gene interactions in generating the dramatic phenotypic evolution seen in the transition from teosinte to maize.
 </p></details><p></p>"
"2018",7,"<details>
    <summary> [Adaptation in plant genomes: Bigger is different](https://doi.org/10.1002/ajb2.1002)
 Wenbin Mei, Markus G. Stetter, Daniel J. Gates, Michelle C. Stitzer, Jeffrey Ross‐Ibarra

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2018",8,"<details>
    <summary> [A Kinesin-14 Motor Activates Neocentromeres to Promote Meiotic Drive in Maize](https://doi.org/10.1016/j.cell.2018.03.009)
 R. Kelly Dawe, Elizabeth G. Lowry, Jonathan I. Gent, Michelle C. Stitzer, ...[10 authors]..., James A. Birchler, Alex E. Harkess, Amy L. Hodges, Evelyn N. Hiatt

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2018",9,"<details>
    <summary> [Genetic architecture and selective sweeps after polygenic adaptation to distant trait optima](https://doi.org/10.1371/journal.pgen.1007794)
 Markus G. Stetter, Kevin Thornton, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2018",10,"<details>
    <summary> [Parallel altitudinal clines reveal trends in adaptive evolution of genome size in Zea mays](https://doi.org/10.1371/journal.pgen.1007162)
 Paul Bilinski, Patrice S. Albert, Jeremy J. Berg, James A. Birchler, ...[2 authors]..., Juvenal Quezada, Kelly Swarts, Jinliang Yang, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2018",11,"<details>
    <summary> [Evolutionary Responses to Conditionality in Species Interactions across Environmental Gradients](https://doi.org/10.1086/700118)
 Anna M. O’Brien, Ruairidh J. H. Sawers, **Jeffrey Ross-Ibarra**, Sharon Y. Strauss

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",6,"<details>
    <summary> [How to make a domesticate](https://doi.org/10.1016/j.cub.2017.06.048)
 Markus G. Stetter, Daniel J. Gates, Wenbin Mei, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",7,"<details>
    <summary> [Improved maize reference genome with single-molecule technologies](https://doi.org/10.1038/nature22971)
 Yinping Jiao, Paul Peluso, Jinghua Shi, Tiffany Liang, ...[20 authors]..., R. Kelly Dawe, Alex Hastie, David R. Rank, Doreen Ware

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",8,"<details>
    <summary> [Construction of the third-generation Zea mays haplotype map](https://doi.org/10.1093/gigascience/gix134)
 Robert Bukowski, Xiaosen Guo, Yanli Lu, Cheng Zou, ...[18 authors]..., Doreen Ware, Jinsheng Lai, Qi Sun, Yunbi Xu

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Background Characterization of genetic variations in maize has been challenging, mainly due to deterioration of collinearity between individual genomes in the species. An international consortium of maize research groups combined resources to develop the maize haplotype version 3 (HapMap 3), built from whole-genome sequencing data from 1218 maize lines, covering predomestication and domesticated Zea mays varieties across the world. Results A new computational pipeline was set up to process more than 12 trillion bp of sequencing data, and a set of population genetics filters was applied to identify more than 83 million variant sites. Conclusions We identified polymorphisms in regions where collinearity is largely preserved in the maize species. However, the fact that the B73 genome used as the reference only represents a fraction of all haplotypes is still an important limiting factor.
 </p></details><p></p>"
"2017",9,"<details>
    <summary> [Gene Fractionation and Function in the Ancient Subgenomes of Maize](https://doi.org/10.1093/molbev/msx121)
 Simon Renny-Byfield, Eli Rodgers-Melnick, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",10,"<details>
    <summary> [The interplay of demography and selection during maize domestication and expansion](https://doi.org/10.1186/s13059-017-1346-4)
 Li Wang, Timothy M. Beissinger, Anne Lorant, **Claudia Ross-Ibarra**, **Jeffrey Ross-Ibarra**, Matthew B. Hufford

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",11,"<details>
    <summary> [Genomic estimation of complex traits reveals ancient maize adaptation to temperate North America](https://doi.org/10.1126/science.aam9425)
 Kelly Swarts, Rafal M. Gutaker, Bruce Benz, Michael Blake, ...[11 authors]..., R. G. Matson, Detlef Weigel, Edward S. Buckler, Hernán A. Burbano

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Estimating temperate adaptation in ancient maize Maize as a staple food crop in temperate North America required adaptation to a shorter growing season. On its first introduction in the southwestern United States ∼4000 years ago, maize was extensively grown in the lowlands. Cultivation in the temperate uplands did not occur for another 2000 years. Swarts et al. used ancient DNA data from 1900-year-old maize cobs found in a temperate cave in the southwestern United States and mapped the ancient flowering phenotype. The ancient maize samples were marginally adapted to temperate regions as a result of selection on standing variation. Science , this issue p. 512
 </p></details><p></p>"
"2017",12,"<details>
    <summary> [Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize](https://doi.org/10.1371/journal.pgen.1007019)
 Jinliang Yang, Sofiane Mezmouk, Andy Baumgarten, Edward S. Buckler, Katherine E. Guill, Michael D. McMullen, Rita H. Mumm, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",13,"<details>
    <summary> [The potential role of genetic assimilation during maize domestication](https://doi.org/10.1371/journal.pone.0184202)
 Anne Lorant, Sarah Pedersen, Irene Holst, Matthew B. Hufford, Klaus Winter, Dolores Piperno, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",14,"<details>
    <summary> [Advances and Limits of Using Population Genetics to Understand Local Adaptation](https://doi.org/10.1016/j.tree.2017.08.001)
 Peter Tiffin, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",15,"<details>
    <summary> [Genomic abundance is not predictive of tandem repeat localization in grass genomes](https://doi.org/10.1371/journal.pone.0177896)
 Paul Bilinski, Yonghua Han, Matthew B. Hufford, Anne Lorant, Pingdong Zhang, Matt C. Estep, Jiming Jiang, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2017",16,"<details>
    <summary> [Allele specific expression analysis identifies regulatory variation associated with stress-related genes in the Mexican highland maize landrace Palomero Toluqueño](https://doi.org/10.7717/peerj.3737)
 M. Rocío Aguilar-Rangel, Ricardo A. Chávez Montes, Eric González-Segovia, **Jeffrey Ross-Ibarra**, June K. Simpson, Ruairidh J.H. Sawers

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Background Gene regulatory variation has been proposed to play an important role in the adaptation of plants to environmental stress. In the central highlands of Mexico, farmer selection has generated a unique group of maize landraces adapted to the challenges of the highland niche. In this study, gene expression in Mexican highland maize and a reference maize breeding line were compared to identify evidence of regulatory variation in stress-related genes. It was hypothesised that local adaptation in Mexican highland maize would be associated with a transcriptional signature observable even under benign conditions. Methods Allele specific expression analysis was performed using the seedling-leaf transcriptome of an F 1 individual generated from the cross between the highland adapted Mexican landrace Palomero Toluqueño and the reference line B73, grown under benign conditions. Results were compared with a published dataset describing the transcriptional response of B73 seedlings to cold, heat, salt and UV treatments. Results A total of 2,386 genes were identified to show allele specific expression. Of these, 277 showed an expression difference between Palomero Toluqueño and B73 alleles under benign conditions that anticipated the response of B73 cold, heat, salt and/or UV treatments, and, as such, were considered to display a prior stress response. Prior stress response candidates included genes associated with plant hormone signaling and a number of transcription factors. Construction of a gene co-expression network revealed further signaling and stress-related genes to be among the potential targets of the transcription factors candidates. Discussion Prior activation of responses may represent the best strategy when stresses are severe but predictable. Expression differences observed here between Palomero Toluqueño and B73 alleles indicate the presence of cis -acting regulatory variation linked to stress-related genes in Palomero Toluqueño. Considered alongside gene annotation and population data, allele specific expression analysis of plants grown under benign conditions provides an attractive strategy to identify functional variation potentially linked to local adaptation.
 </p></details><p></p>"
"2016",6,"<details>
    <summary> [Evolutionary Genomics of Peach and Almond Domestication](https://doi.org/10.1534/g3.116.032672)
 Dianne Velasco, Josh Hough, Mallikarjuna Aradhya, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract The domesticated almond [Prunus dulcis (L.) Batsch] and peach [P. persica (Mill.) D. A. Webb] originated on opposite sides of Asia and were independently domesticated ∼5000 yr ago. While interfertile, they possess alternate mating systems and differ in a number of morphological and physiological traits. Here, we evaluated patterns of genome-wide diversity in both almond and peach to better understand the impacts of mating system, adaptation, and domestication on the evolution of these taxa. Almond has around seven times the genetic diversity of peach, and high genome-wide FST values support their status as separate species. We estimated a divergence time of ∼8 MYA (million years ago), coinciding with an active period of uplift in the northeast Tibetan Plateau and subsequent Asian climate change. We see no evidence of a bottleneck during domestication of either species, but identify a number of regions showing signatures of selection during domestication and a significant overlap in candidate regions between peach and almond. While we expected gene expression in fruit to overlap with candidate selected regions, instead we find enrichment for loci highly differentiated between the species, consistent with recent fossil evidence suggesting fruit divergence long preceded domestication. Taken together, this study tells us how closely related tree species evolve and are domesticated, the impact of these events on their genomes, and the utility of genomic information for long-lived species. Further exploration of this data will contribute to the genetic knowledge of these species and provide information regarding targets of selection for breeding application, and further the understanding of evolution in these species.
 </p></details><p></p>"
"2016",7,"<details>
    <summary> [Recent demography drives changes in linked selection across the maize genome](https://doi.org/10.1038/nplants.2016.84)
 Timothy M. Beissinger, Li Wang, Kate Crosby, Arun Durvasula, Matthew B. Hufford, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2016",8,"<details>
    <summary> [angsd ‐wrapper: utilities for analysing next‐generation sequencing data](https://doi.org/10.1111/1755-0998.12578)
 Arun Durvasula, Paul J. Hoffman, Tyler V. Kent, Chaochih Liu, Thomas J. Y. Kono, Peter L. Morrell, Jeffrey Ross‐Ibarra

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract High‐throughput sequencing has changed many aspects of population genetics, molecular ecology and related fields, affecting both experimental design and data analysis. The software package angsd allows users to perform a number of population genetic analyses on high‐throughput sequencing data. angsd uses probabilistic approaches which can directly make use of genotype likelihoods; thus, SNP calling is not required for comparative analyses. This takes advantage of all the sequencing data and produces more accurate results for samples with low sequencing depth. Here, we present angsd ‐wrapper, a set of wrapper scripts that provides a user‐friendly interface for running angsd and visualizing results. angsd ‐wrapper supports multiple types of analyses including estimates of nucleotide sequence diversity neutrality tests, principal component analysis, estimation of admixture proportions for individual samples and calculation of statistics that quantify recent introgression. angsd ‐wrapper also provides interactive graphing of angsd results to enhance data exploration. We demonstrate the usefulness of angsd ‐wrapper by analysing resequencing data from populations of wild and domesticated Zea . angsd ‐wrapper is freely available from https://github.com/mojaveazure/angsd-wrapper .
 </p></details><p></p>"
"2016",9,"<details>
    <summary> [Genome Sequence of a 5,310-Year-Old Maize Cob Provides Insights into the Early Stages of Maize Domestication](https://doi.org/10.1016/j.cub.2016.09.036)
 Jazmín Ramos-Madrigal, Bruce D. Smith, J. Víctor Moreno-Mayar, Shyam Gopalakrishnan, **Jeffrey Ross-Ibarra**, M. Thomas P. Gilbert, Nathan Wales

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2016",10,"<details>
    <summary> [High Quality Maize Centromere 10 Sequence Reveals Evidence of Frequent Recombination Events](https://doi.org/10.3389/fpls.2016.00308)
 Thomas K. Wolfgruber, Megan M. Nakashima, Kevin L. Schneider, Anupma Sharma, ...[4 authors]..., R. Kelly Dawe, **Jeffrey Ross-Ibarra**, James A. Birchler, Gernot G. Presting

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2016",11,"<details>
    <summary> [Maize diversity associated with social origin and environmental variation in Southern Mexico](https://doi.org/10.1038/hdy.2016.10)
 Q Orozco-Ramírez, **J Ross-Ibarra**, A Santacruz-Varela, S Brush

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",6,"<details>
    <summary> [Genetic, evolutionary and plant breeding insights from the domestication of maize](https://doi.org/10.7554/eLife.05861)
 Sarah Hake, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 The natural history of maize began nine thousand years ago when Mexican farmers started to collect the seeds of the wild grass, teosinte. Invaluable as a food source, maize permeated Mexican culture and religion. Its domestication eventually led to its adoption as a model organism, aided in large part by its large chromosomes, ease of pollination and growing agricultural importance. Genome comparisons between varieties of maize, teosinte and other grasses are beginning to identify the genes responsible for the domestication of modern maize and are also providing ideas for the breeding of more hardy varieties.
 </p></details><p></p>"
"2015",7,"<details>
    <summary> [The genomics of wild yeast populations sheds light on the domestication of man's best (micro) friend](https://doi.org/10.1111/mec.13380)
 Chris Eberlein, Jean‐Baptiste Leducq, Christian R. Landry

 </summary>  
    <p style=""""margin-left: 30px""""> 
 The domestication of plants, animals and microbes by humans are the longest artificial evolution experiments ever performed. The study of these long‐term experiments can teach us about the genomics of adaptation through the identification of the genetic bases underlying the traits favoured by humans. In laboratory evolution, the characterization of the molecular changes that evolved specifically in some lineages is straightforward because the ancestors are readily available, for instance in the freezer. However, in the case of domesticated species, the ancestor is often missing, which leads to the necessity of going back to nature in order to infer the most likely ancestral state. Significant and relatively recent examples of this approach include wolves as the closest wild relative to domestic dogs (Axelsson et al . 2013) and teosinte as the closest relative to maize (reviewed in Hake &amp; Ross‐Ibarra 2015). In both cases, the joint analysis of domesticated lineages and their wild cousins has been key in reconstructing the molecular history of their domestication. While the identification of closest wild relatives has been done for many plants and animals, these comparisons represent challenges for micro‐organisms. This has been the case for the budding yeast Saccharomyces cerevisiae , whose natural ecological niche is particularly challenging to define. For centuries, this unicellular fungus has been the cellular factory for wine, beer and bread crafting, and currently for bioethanol and drug production. While the recent development of genomics has lead to the identification of many genetic elements associated with important wine characteristics, the historical origin of some of the domesticated wine strains has remained elusive due to the lack of knowledge of their close wild relatives. In this issue of Molecular Ecology, Almeida et al . (2015) identified what is to date the closest known wild population of the wine yeast. This population is found associated with oak trees in Europe, presumably its natural host. Using population genomics analyses, Almeida and colleagues discovered that the initial divergence between natural and domesticated wine yeasts in the Mediterranean region took place around the early days of wine production. Surprisingly, genomic regions that are key to wine production today appeared not to be derived from these natural populations but from genes gained from other yeast species.
 </p></details><p></p>"
"2015",8,"<details>
    <summary> [Independent Molecular Basis of Convergent Highland Adaptation in Maize](https://doi.org/10.1534/genetics.115.178327)
 Shohei Takuno, Peter Ralph, Kelly Swarts, Rob J Elshire, Jeffrey C Glaubitz, Edward S Buckler, Matthew B Hufford, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Convergent evolution is the independent evolution of similar traits in different species or lineages of the same species; this often is a result of adaptation to similar environments, a process referred to as convergent adaptation. We investigate here the molecular basis of convergent adaptation in maize to highland climates in Mesoamerica and South America, using genome-wide SNP data. Taking advantage of archaeological data on the arrival of maize to the highlands, we infer demographic models for both populations, identifying evidence of a strong bottleneck and rapid expansion in South America. We use these models to then identify loci showing an excess of differentiation as a means of identifying putative targets of natural selection and compare our results to expectations from recently developed theory on convergent adaptation. Consistent with predictions across a wide parameter space, we see limited evidence for convergent evolution at the nucleotide level in spite of strong similarities in overall phenotypes. Instead, we show that selection appears to have predominantly acted on standing genetic variation and that introgression from wild teosinte populations appears to have played a role in highland adaptation in Mexican maize.
 </p></details><p></p>"
"2015",9,"<details>
    <summary> [Seed filling in domesticated maize and rice depends on SWEET-mediated hexose transport](https://doi.org/10.1038/ng.3422)
 Davide Sosso, Dangping Luo, Qin-Bao Li, Joelle Sasse, ...[6 authors]..., Peter M Rogowsky, **Jeffrey Ross-Ibarra**, Bing Yang, Wolf B Frommer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",10,"<details>
    <summary> [The origin and evolution of maize in the Southwestern United States](https://doi.org/10.1038/nplants.2014.3)
 Rute R. da Fonseca, Bruce D. Smith, Nathan Wales, Enrico Cappellini, ...[12 authors]..., Matthew B. Hufford, Anders Albrechtsen, **Jeffrey Ross-Ibarra**, M. Thomas P. Gilbert

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",11,"<details>
    <summary> [Correction: Transposable Elements Contribute to Activation of Maize Genes in Response to Abiotic Stress](https://doi.org/10.1371/journal.pgen.1005566)
 Irina Makarevitch, Amanda J. Waters, Patrick T. West, Michelle Stitzer, Candice N. Hirsch, **Jeffrey Ross-Ibarra**, Nathan M. Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",12,"<details>
    <summary> [Transposable Elements Contribute to Activation of Maize Genes in Response to Abiotic Stress](https://doi.org/10.1371/journal.pgen.1004915)
 Irina Makarevitch, Amanda J. Waters, Patrick T. West, Michelle Stitzer, Candice N. Hirsch, **Jeffrey Ross-Ibarra**, Nathan M. Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",13,"<details>
    <summary> [Natural variation in teosinte at the domestication locus teosinte branched1 ( tb1 )](https://doi.org/10.7717/peerj.900)
 Laura Vann, Thomas Kono, Tanja Pyhäjärvi, Matthew B. Hufford, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2015",14,"<details>
    <summary> [The Genomic Impacts of Drift and Selection for Hybrid Performance in Maize](https://doi.org/10.1534/genetics.115.182410)
 Justin P Gerke, Jode W Edwards, Katherine E Guill, **Jeffrey Ross-Ibarra**, Michael D McMullen

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Although maize is naturally an outcrossing organism, modern breeding utilizes highly inbred lines in controlled crosses to produce hybrids. The U.S. Department of Agriculture’s reciprocal recurrent selection experiment between the Iowa Stiff Stalk Synthetic (BSSS) and the Iowa Corn Borer Synthetic No. 1 (BSCB1) populations represents one of the longest running experiments to understand the response to selection for hybrid performance. To investigate the genomic impact of this selection program, we genotyped the progenitor lines and &amp;gt;600 individuals across multiple cycles of selection using a genome-wide panel of ∼40,000 SNPs. We confirmed previous results showing a steady temporal decrease in genetic diversity within populations and a corresponding increase in differentiation between populations. Thanks to detailed historical information on experimental design, we were able to perform extensive simulations using founder haplotypes to replicate the experiment in the absence of selection. These simulations demonstrate that while most of the observed reduction in genetic diversity can be attributed to genetic drift, heterozygosity in each population has fallen more than expected. We then took advantage of our high-density genotype data to identify extensive regions of haplotype fixation and trace haplotype ancestry to single founder inbred lines. The vast majority of regions showing such evidence of selection differ between the two populations, providing evidence for the dominance model of heterosis. We discuss how this pattern is likely to occur during selection for hybrid performance and how it poses challenges for dissecting the impacts of modern breeding and selection on the maize genome.
 </p></details><p></p>"
"2014",6,"<details>
    <summary> [Advances and limits of using population genetics to understand local adaptation](https://doi.org/10.1016/j.tree.2014.10.004)
 Peter Tiffin, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2014",7,"<details>
    <summary> [The Pattern and Distribution of Deleterious Mutations in Maize](https://doi.org/10.1534/g3.113.008870)
 Sofiane Mezmouk, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Most nonsynonymous mutations are thought to be deleterious because of their effect on protein sequence and are expected to be removed or kept at low frequency by the action of natural selection. Nonetheless, the effect of positive selection on linked sites or drift in small or inbred populations may also impact the evolution of deleterious alleles. Despite their potential to affect complex trait phenotypes, deleterious alleles are difficult to study precisely because they are often at low frequency. Here, we made use of genome-wide genotyping data to characterize deleterious variants in a large panel of maize inbred lines. We show that, despite small effective population sizes and inbreeding, most putatively deleterious SNPs are indeed at low frequencies within individual genetic groups. We find that genes associated with a number of complex traits are enriched for deleterious variants. Together, these data are consistent with the dominance model of heterosis, in which complementation of numerous low-frequency, weak deleterious variants contribute to hybrid vigor.
 </p></details><p></p>"
"2014",8,"<details>
    <summary> [Diversity and evolution of centromere repeats in the maize genome](https://doi.org/10.1007/s00412-014-0483-8)
 Paul Bilinski, Kevin Distor, Jose Gutierrez-Lopez, Gabriela Mendoza Mendoza, Jinghua Shi, R. Kelly Dawe, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2014",9,"<details>
    <summary> [Reply to Brush et al.: Wake-up call for crop conservation science](https://doi.org/10.1073/pnas.1422645112)
 George A. Dyer, Alejandro López-Feldman, Antonio Yúnez-Naude, J. Edward Taylor, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2013",6,"<details>
    <summary> [Feeding the future](https://doi.org/10.1038/499023a)
 Susan McCouch, Gregory J. Baute, James Bradeen, Paula Bramel, ...[36 authors]..., Judson Ward, Robbie Waugh, Peter Wenzl, Daniel Zamir

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2013",7,"<details>
    <summary> [The Genomic Signature of Crop-Wild Introgression in Maize](https://doi.org/10.1371/journal.pgen.1003477)
 Matthew B. Hufford, Pesach Lubinksy, Tanja Pyhäjärvi, Michael T. Devengenzo, Norman C. Ellstrand, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2013",8,"<details>
    <summary> [Complex Patterns of Local Adaptation in Teosinte](https://doi.org/10.1093/gbe/evt109)
 Tanja Pyhäjärvi, Matthew B. Hufford, Sofiane Mezmouk, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2013",9,"<details>
    <summary> [From Many, One: Genetic Control of Prolificacy during Maize Domestication](https://doi.org/10.1371/journal.pgen.1003604)
 David M. Wills, Clinton J. Whipple, Shohei Takuno, Lisa E. Kursel, Laura M. Shannon, **Jeffrey Ross-Ibarra**, John F. Doebley

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2013",10,"<details>
    <summary> [Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution](https://doi.org/10.1186/gb-2013-14-1-r10)
 Daniël P Melters, Keith R Bradnam, Hugh A Young, Natalie Telis, ...[9 authors]..., Christian Tobias, **Jeffrey Ross-Ibarra**, Ian Korf, Simon WL Chan

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract Background Centromeres are essential for chromosome segregation, yet their DNA sequences evolve rapidly. In most animals and plants that have been studied, centromeres contain megabase-scale arrays of tandem repeats. Despite their importance, very little is known about the degree to which centromere tandem repeats share common properties between different species across different phyla. We used bioinformatic methods to identify high-copy tandem repeats from 282 species using publicly available genomic sequence and our own data. Results Our methods are compatible with all current sequencing technologies. Long Pacific Biosciences sequence reads allowed us to find tandem repeat monomers up to 1,419 bp. We assumed that the most abundant tandem repeat is the centromere DNA, which was true for most species whose centromeres have been previously characterized, suggesting this is a general property of genomes. High-copy centromere tandem repeats were found in almost all animal and plant genomes, but repeat monomers were highly variable in sequence composition and length. Furthermore, phylogenetic analysis of sequence homology showed little evidence of sequence conservation beyond approximately 50 million years of divergence. We find that despite an overall lack of sequence conservation, centromere tandem repeats from diverse species showed similar modes of evolution. Conclusions While centromere position in most eukaryotes is epigenetically determined, our results indicate that tandem repeats are highly prevalent at centromeres of both animal and plant genomes. This suggests a functional role for such repeats, perhaps in promoting concerted evolution of centromere DNA across chromosomes.
 </p></details><p></p>"
"2013",11,"<details>
    <summary> [Comprehensive analysis of imprinted genes in maize reveals allelic variation for imprinting and limited conservation with other species](https://doi.org/10.1073/pnas.1309182110)
 Amanda J. Waters, Paul Bilinski, Steven R. Eichten, Matthew W. Vaughn, **Jeffrey Ross-Ibarra**, Mary Gehring, Nathan M. Springer

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Significance In many eukaryotes, reproduction involves contributions of genetic material from two parents. At some genes there are parent-of-origin differences in the expression of the maternal and paternal alleles of a gene and this is referred to as imprinting. The analysis of allele-specific expression in several maize hybrids allowed the comprehensive detection of imprinted genes. By comparing allelic expression patterns in multiple crosses, it was possible to observe allelic variation for imprinting in maize. The comparison of genes subject to imprinting in multiple plant species reveals limited conservation for imprinting. The subset of genes that exhibit conserved imprinting in maize and rice may play important, dosage-dependent roles in regulation of seed development.
 </p></details><p></p>"
"2013",12,"<details>
    <summary> [Diversity and abundance of the abnormal chromosome 10 meiotic drive complex in Zea mays](https://doi.org/10.1038/hdy.2013.2)
 L B Kanizay, T Pyhäjärvi, E G Lowry, M B Hufford, D G Peterson, **J Ross-Ibarra**, R K Dawe

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
"2012",6,"<details>
    <summary> [Teosinte as a model system for population and ecological genomics](https://doi.org/10.1016/j.tig.2012.08.004)
 Matthew B. Hufford, Paul Bilinski, Tanja Pyhäjärvi, **Jeffrey Ross-Ibarra**

 </summary>  
    <p style=""""margin-left: 30px""""> 
 Abstract unavailable.
 </p></details><p></p>"
